Feature,Mean |SHAP|
feature_31,0.5005101187200748
feature_0,0.34928232604763826
feature_33,0.2915210713323336
feature_32,0.177159631910857
feature_10,0.13448402337967102
feature_1,0.11073193540622546
feature_11,0.11040226341645992
feature_38,0.08649692326738066
feature_37,0.0677611619124161
feature_19,0.06650689452216757
feature_24,0.051591637114856724
feature_35,0.048033501040231394
feature_36,0.04083922148449776
feature_30,0.036986555344690655
feature_4,0.031531283008848755
feature_7,0.025664719864200925
feature_34,0.025638618745980037
feature_16,0.020712243147785435
feature_3,0.018650971699532726
feature_18,0.017966127458149232
feature_2,0.014532758721528687
feature_22,0.013730789183899573
feature_9,0.006008630484795429
feature_5,0.003744511294234622
feature_28,0.00145874113642694
